revenue,popularity,budget,vote_average,vote_count
38000000,28.605420000000002,17500000,7.5,793
99965753,42.669304,24000000,5.9,966
7018189,7.180403,17500000,5.8,16
266586800,21.638673,18000000,4.6,218
183316455,67.66094,18500000,7.7,3220
72070731,20.786616,17000000,7.4,352
125586134,27.654472,17000000,5.6,687
136621271,70.66892299999999,17000000,6.4,1219
109502303,23.425431,16000000,6.9,478
19179969,14.304444,17500000,5.8,172
70000000,30.301307,300000,7.4,1035
71625195,7.210095,17000000,6.7,110
57103895,23.491962,17000000,6.4,534
136150434,36.133536,20000000,5.8,730
30331165,12.709227,17000000,5.9,198
43165571,24.054062,17000000,6.0,849
69623713,35.107857,15000000,6.1,705
45710059,14.023082,0,7.4,213
21170563,5.422285,20000000,6.0,32
115350426,32.746486,17000000,7.3,2247
19693891,3.9600980000000003,34000000,4.8,63
29536299,18.790101999999997,17000000,6.2,293
10000000,3.3210949999999997,17000000,6.3,36
97542952,33.912116,17000000,6.4,1723
20455276,5.787891,17000000,5.6,101
7314027,7.864011,17000000,4.9,95
19300000,17.062117,17000000,4.1,318
9500000,19.311572,17000000,7.0,331
86915017,36.960953,40000000,7.1,1615
2000000,1.15641,17000000,5.6,19
1569918,9.583578,17000000,6.8,59
3758328,25.112567000000002,17000000,6.1,271
374743,9.349386,17000000,5.2,153
8720000,2.215261,17000000,5.0,27
9627492,6.385234,17000000,4.5,140
2281089,4.358255000000001,16800000,5.8,73
43848069,24.898687,15000000,7.0,546
135000000,20.898711,16500000,7.2,352
37311672,18.236284,16500000,6.9,317
13620075,10.74648,16500000,6.0,236
16942795,12.102725,16500000,7.0,199
235860116,55.458583999999995,16400000,8.1,2705
247275374,35.777066999999995,16000000,6.5,1859
92823546,18.430419,16000000,7.3,950
53977250,7.980632000000001,16000000,7.4,131
119754278,14.759948000000001,16000000,5.9,542
133432856,29.943315999999996,15000000,7.3,1049
76514050,15.788784,16000000,4.8,365
68263166,41.083914,16000000,7.6,1662
6490401,1.8845580000000002,18500000,6.4,30
83258226,90.80940799999999,19000000,7.6,3041
29381649,7.854989,16000000,7.4,55
40492759,11.807269,16000000,5.3,224
30987695,15.976335,17700000,5.5,242
30102717,10.484642,15000000,5.3,215
80573774,38.623178,12000000,7.4,2199
50007546,8.8321,16000000,4.6,96
96408652,32.758254,15000000,6.7,1020
20627372,9.119797,16000000,5.4,103
31556061,32.257414000000004,16000000,5.3,837
15427192,3.021835,16000000,5.4,43
13854000,9.455596,20000000,5.3,131
206678440,44.301745000000004,26000000,7.6,988
18564088,19.890428,16000000,6.8,378
12,0.8305959999999999,16000000,4.6,10
4217115,5.7003330000000005,6500000,6.7,100
5900000,29.253833,16000000,6.8,624
2849142,8.842869,16000000,6.7,90
1686429,2.8487270000000002,16000000,4.3,48
5867686,13.832464000000002,16000000,6.2,250
24261569,38.802415,20000000,6.5,956
14822346,9.400404,16000000,4.7,108
53191886,18.923181,11000000,6.8,615
754249,20.39955,13000000,7.2,387
47801389,43.217089,16000000,7.7,1717
3442853,20.591479999999997,16000000,6.4,258
1237615,6.630856,15500000,5.5,16
316360478,29.843818,15000000,6.8,961
476684675,2.186927,18000000,7.1,2414
177200000,20.818567,21000000,6.9,421
356830601,58.900647,15000000,6.7,1698
213525736,45.742253999999996,17000000,7.2,927
356296601,80.87860500000001,15000000,7.9,3313
414211549,54.053576,15000000,7.6,2752
216614388,17.638285999999997,15000000,5.7,559
317000,3.803495,15000000,6.4,52
146292009,17.571533,15000000,7.7,338
11301649,4.628525,16000000,6.5,48
233555708,145.364591,14000000,8.0,5723
67182787,3.826685,15000000,7.2,67
75700498,21.095489,15000000,5.9,355
146497771,47.455148,15000000,6.0,1401
61399552,22.838834,15000000,7.1,410
151831537,27.165221999999996,15000000,6.0,680
123384128,19.113278,15000000,6.8,338
73326666,58.553213,15000000,7.1,1444
55184721,2.005111,15000000,6.1,33
127730736,43.675191,17000000,6.1,1206
66966987,4.688212,15000000,5.4,268
52970014,9.125594,15000000,5.6,197
50000000,19.786392000000003,15000000,7.8,921
64256513,13.581966,15000000,6.7,270
55534455,11.927667,17000000,5.7,280
42930462,30.556134999999998,35000000,5.8,1138
61548707,31.565116999999997,15000000,5.9,584
40283321,21.535126,15000000,6.2,492
44862187,19.284129,15000000,6.6,382
66468332,23.423082,16000000,5.5,431
48126384,49.517264000000004,7000000,7.2,1170
35007180,11.375032000000001,15000000,5.8,156
123726688,61.182331000000005,15000000,7.8,3311
33771174,6.8579229999999995,15000000,6.9,155
69995385,41.286336,15000000,7.8,851
39421467,12.929525,15000000,5.1,267
52501541,42.952942,15000000,7.0,951
32721635,19.760382999999997,15000000,6.2,440
47175038,10.194097,15000000,6.2,230
37664855,11.045592999999998,13000000,4.5,228
30857814,44.533612,16000000,7.6,1486
30226144,10.84158,15000000,6.9,151
78054825,49.294864000000004,15000000,7.4,3725
29331068,7.424798,15000000,5.1,221
46905889,5.164281,15000000,5.6,72
64238440,34.759855,15000000,6.5,1197
30127963,7.297757000000001,15000000,6.3,130
32645546,3.334804,14000000,6.1,61
27728118,2.027393,20000000,7.4,88
